date,USD_JPY,USD_BGN,USD_CZK,USD_DKK,USD_GBP,USD_HUF,USD_PLN,USD_RON,USD_SEK,USD_CHF,USD_ISK,USD_NOK,USD_HRK,USD_TRY,USD_AUD,USD_BRL,USD_CAD,USD_CNY,USD_HKD,USD_IDR,USD_ILS,USD_INR,USD_KRW,USD_MXN,USD_MYR,USD_NZD,USD_PHP,USD_SGD,USD_THB,USD_ZAR,USD_EUR,EUR_USD,EUR_JPY,EUR_BGN,EUR_CZK,EUR_DKK,EUR_GBP,EUR_HUF,EUR_PLN,EUR_RON,EUR_SEK,EUR_CHF,EUR_ISK,EUR_NOK,EUR_HRK,EUR_TRY,EUR_AUD,EUR_BRL,EUR_CAD,EUR_CNY,EUR_HKD,EUR_IDR,EUR_ILS,EUR_INR,EUR_KRW,EUR_MXN,EUR_MYR,EUR_NZD,EUR_PHP,EUR_SGD,EUR_THB,EUR_ZAR
3/4/22,115.445146,1.789551,23.549273,6.807027,0.753848,353.682862,4.440479,4.528777,9.876018,0.920121,131.942538,8.999726,6.915912,14.244762,1.360783,5.061122,1.275231,6.319425,7.815079,14388.59914,3.257663,76.343124,1218.986184,20.820112,4.177967,1.464452,51.984628,1.360783,32.734925,15.375972,0.914997,1.0929,126.17,1.9558,25.737,7.4394,0.82388,386.54,4.853,4.9495,10.7935,1.0056,144.2,9.8358,7.5584,15.5681,1.4872,5.5313,1.3937,6.9065,8.5411,15725.3,3.5603,83.4354,1332.23,22.7543,4.5661,1.6005,56.814,1.4872,35.776,16.8044
3/5/22,115.445146,1.789551,23.549273,6.807027,0.753848,353.682862,4.440479,4.528777,9.876018,0.920121,131.942538,8.999726,6.915912,14.244762,1.360783,5.061122,1.275231,6.319425,7.815079,14388.59914,3.257663,76.343124,1218.986184,20.820112,4.177967,1.464452,51.984628,1.360783,32.734925,15.375972,0.914997,1.0929,126.17,1.9558,25.737,7.4394,0.82388,386.54,4.853,4.9495,10.7935,1.0056,144.2,9.8358,7.5584,15.5681,1.4872,5.5313,1.3937,6.9065,8.5411,15725.3,3.5603,83.4354,1332.23,22.7543,4.5661,1.6005,56.814,1.4872,35.776,16.8044
3/6/22,115.445146,1.789551,23.549273,6.807027,0.753848,353.682862,4.440479,4.528777,9.876018,0.920121,131.942538,8.999726,6.915912,14.244762,1.360783,5.061122,1.275231,6.319425,7.815079,14388.59914,3.257663,76.343124,1218.986184,20.820112,4.177967,1.464452,51.984628,1.360783,32.734925,15.375972,0.914997,1.0929,126.17,1.9558,25.737,7.4394,0.82388,386.54,4.853,4.9495,10.7935,1.0056,144.2,9.8358,7.5584,15.5681,1.4872,5.5313,1.3937,6.9065,8.5411,15725.3,3.5603,83.4354,1332.23,22.7543,4.5661,1.6005,56.814,1.4872,35.776,16.8044
3/7/22,115.236347,1.795135,23.482331,6.829371,0.758375,360.945388,4.545663,4.542818,9.965397,0.924185,133.822855,9.024782,6.938963,14.371455,1.353924,5.054153,1.27251,6.319045,7.815879,14397.20973,3.272419,76.92749,1228.499312,21.133456,4.169436,1.455805,52.163378,1.361267,32.919688,15.323635,0.917852,1.0895,125.55,1.9558,25.584,7.4406,0.82625,393.25,4.9525,4.9494,10.8573,1.0069,145.8,9.8325,7.56,15.6577,1.4751,5.5065,1.3864,6.8846,8.5154,15685.76,3.5653,83.8125,1338.45,23.0249,4.5426,1.5861,56.832,1.4831,35.866,16.6951
3/8/22,115.708777,1.79563,23.542049,6.834466,0.763726,356.481822,4.508171,4.544069,9.989258,0.928296,133.951524,8.990544,6.951432,14.522861,1.374495,5.081344,1.283327,6.317022,7.820694,14358.94234,3.307198,77.051047,1234.585017,21.379545,4.182519,1.465112,52.240176,1.363937,33.195006,15.337036,0.918105,1.0892,126.03,1.9558,25.642,7.4441,0.83185,388.28,4.9103,4.9494,10.8803,1.0111,145.9,9.7925,7.5715,15.8183,1.4971,5.5346,1.3978,6.8805,8.5183,15639.76,3.6022,83.924,1344.71,23.2866,4.5556,1.5958,56.9,1.4856,36.156,16.7051
3/9/22,115.810061,1.779132,23.072865,6.771582,0.760211,345.365232,4.384245,4.501501,9.764396,0.927681,132.17502,8.912945,6.879378,14.675066,1.363686,5.021468,1.283362,6.318021,7.820795,14290.96698,3.27281,76.59647,1234.494678,21.117529,4.187028,1.460475,52.086782,1.361412,33.044665,15.15146,0.90967,1.0993,127.31,1.9558,25.364,7.444,0.8357,379.66,4.8196,4.9485,10.734,1.0198,145.3,9.798,7.5625,16.1323,1.4991,5.5201,1.4108,6.9454,8.5974,15710.06,3.5978,84.2025,1357.08,23.2145,4.6028,1.6055,57.259,1.4966,36.326,16.656
3/10/22,115.968964,1.764525,22.84013,6.712468,0.759428,344.307109,4.352129,4.465085,9.660141,0.926561,131.2703,8.948935,6.826507,14.953086,1.363136,5.048538,1.280134,6.321093,7.821003,14277.29159,3.267683,76.332551,1227.426922,21.035096,4.187477,1.460213,52.169794,1.358535,33.119812,15.090581,0.902201,1.1084,128.54,1.9558,25.316,7.4401,0.84175,381.63,4.8239,4.9491,10.7073,1.027,145.5,9.919,7.5665,16.574,1.5109,5.5958,1.4189,7.0063,8.6688,15824.95,3.6219,84.607,1360.48,23.3153,4.6414,1.6185,57.825,1.5058,36.71,16.7264
3/11/22,116.88808,1.779618,22.941765,6.769973,0.764058,346.606005,4.351228,4.503185,9.686988,0.930846,131.847134,8.9202,6.889263,14.791083,1.366424,5.011556,1.276069,6.336033,7.825933,14282.65696,3.246861,76.421747,1232.065514,20.884804,4.19454,1.460692,52.284804,1.360237,33.250227,15.004186,0.909918,1.099,128.46,1.9558,25.213,7.4402,0.8397,380.92,4.782,4.949,10.646,1.023,144.9,9.8033,7.5713,16.2554,1.5017,5.5077,1.4024,6.9633,8.6007,15696.64,3.5683,83.9875,1354.04,22.9524,4.6098,1.6053,57.461,1.4949,36.542,16.4896
3/12/22,116.88808,1.779618,22.941765,6.769973,0.764058,346.606005,4.351228,4.503185,9.686988,0.930846,131.847134,8.9202,6.889263,14.791083,1.366424,5.011556,1.276069,6.336033,7.825933,14282.65696,3.246861,76.421747,1232.065514,20.884804,4.19454,1.460692,52.284804,1.360237,33.250227,15.004186,0.909918,1.099,128.46,1.9558,25.213,7.4402,0.8397,380.92,4.782,4.949,10.646,1.023,144.9,9.8033,7.5713,16.2554,1.5017,5.5077,1.4024,6.9633,8.6007,15696.64,3.5683,83.9875,1354.04,22.9524,4.6098,1.6053,57.461,1.4949,36.542,16.4896
3/13/22,116.88808,1.779618,22.941765,6.769973,0.764058,346.606005,4.351228,4.503185,9.686988,0.930846,131.847134,8.9202,6.889263,14.791083,1.366424,5.011556,1.276069,6.336033,7.825933,14282.65696,3.246861,76.421747,1232.065514,20.884804,4.19454,1.460692,52.284804,1.360237,33.250227,15.004186,0.909918,1.099,128.46,1.9558,25.213,7.4402,0.8397,380.92,4.782,4.949,10.646,1.023,144.9,9.8033,7.5713,16.2554,1.5017,5.5077,1.4024,6.9633,8.6007,15696.64,3.5683,83.9875,1354.04,22.9524,4.6098,1.6053,57.461,1.4949,36.542,16.4896
3/14/22,117.974453,1.784489,22.709854,6.788777,0.765648,341.131387,4.308212,4.515511,9.613869,0.935128,132.390511,8.995255,6.91104,14.781022,1.381113,5.044343,1.275365,6.362956,7.829836,14305.2281,3.271898,76.57938,1238.841241,20.831296,4.205018,1.471715,52.370438,1.363777,33.385036,15.057391,0.912409,1.096,129.3,1.9558,24.89,7.4405,0.83915,373.88,4.7218,4.949,10.5368,1.0249,145.1,9.8588,7.5745,16.2,1.5137,5.5286,1.3978,6.9738,8.5815,15678.53,3.586,83.931,1357.77,22.8311,4.6087,1.613,57.398,1.4947,36.59,16.5029
3/15/22,117.978346,1.779456,22.624875,6.770085,0.764744,337.921936,4.308525,4.502047,9.576927,0.939132,131.835138,8.960968,6.892003,14.645437,1.386043,5.130106,1.282777,6.379492,7.826949,14293.9132,3.283414,76.385679,1242.880539,20.867255,4.206988,1.475389,52.348285,1.364116,33.520153,15.125921,0.909835,1.0991,129.67,1.9558,24.867,7.441,0.84053,371.41,4.7355,4.9482,10.526,1.0322,144.9,9.849,7.575,16.0968,1.5234,5.6385,1.4099,7.0117,8.6026,15710.44,3.6088,83.9555,1366.05,22.9352,4.6239,1.6216,57.536,1.4993,36.842,16.6249
3/16/22,118.291796,1.77897,22.454975,6.768419,0.763944,337.62052,4.253684,4.5,9.478352,0.940149,130.525741,8.912862,6.887848,14.715572,1.379389,5.141259,1.27042,6.350464,7.822085,14271.74823,3.262871,76.205658,1231.371657,20.787702,4.197471,1.47062,52.240313,1.361288,33.364562,15.060397,0.909587,1.0994,130.05,1.9558,24.687,7.4412,0.83988,371.18,4.6765,4.9473,10.4205,1.0336,143.5,9.7988,7.5725,16.1783,1.5165,5.6523,1.3967,6.9817,8.5996,15690.36,3.5872,83.7805,1353.77,22.854,4.6147,1.6168,57.433,1.4966,36.681,16.5574
3/17/22,118.78563,1.769795,22.420595,6.735951,0.762963,336.666365,4.242964,4.476066,9.456429,0.939734,128.585648,8.849878,6.852774,14.760927,1.36232,5.098091,1.266673,6.350195,7.817483,14329.89775,3.237445,75.869605,1212.578047,20.620758,4.195457,1.459596,52.203421,1.355533,33.270292,14.956656,0.904895,1.1051,131.27,1.9558,24.777,7.4439,0.84315,372.05,4.6889,4.9465,10.4503,1.0385,142.1,9.78,7.573,16.3123,1.5055,5.6339,1.3998,7.0176,8.6391,15835.97,3.5777,83.8435,1340.02,22.788,4.6364,1.613,57.69,1.498,36.767,16.5286
3/18/22,119.367733,1.776708,22.562682,6.76081,0.7624,340.961119,4.281886,4.495185,9.4752,0.936955,129.81468,8.806323,6.875454,14.812318,1.357649,5.067587,1.263717,6.361828,7.821675,14336.94586,3.248637,76.110556,1214.852834,20.521893,4.193041,1.45585,52.345567,1.358285,33.380269,15.020621,0.90843,1.1008,131.4,1.9558,24.837,7.4423,0.83925,375.33,4.7135,4.9483,10.4303,1.0314,142.9,9.694,7.5685,16.3054,1.4945,5.5784,1.3911,7.0031,8.6101,15782.11,3.5761,83.7825,1337.31,22.5905,4.6157,1.6026,57.622,1.4952,36.745,16.5347
3/19/22,119.367733,1.776708,22.562682,6.76081,0.7624,340.961119,4.281886,4.495185,9.4752,0.936955,129.81468,8.806323,6.875454,14.812318,1.357649,5.067587,1.263717,6.361828,7.821675,14336.94586,3.248637,76.110556,1214.852834,20.521893,4.193041,1.45585,52.345567,1.358285,33.380269,15.020621,0.90843,1.1008,131.4,1.9558,24.837,7.4423,0.83925,375.33,4.7135,4.9483,10.4303,1.0314,142.9,9.694,7.5685,16.3054,1.4945,5.5784,1.3911,7.0031,8.6101,15782.11,3.5761,83.7825,1337.31,22.5905,4.6157,1.6026,57.622,1.4952,36.745,16.5347
