"date","USD_JPY","USD_BGN","USD_CZK","USD_DKK","USD_GBP","USD_HUF","USD_PLN","USD_RON","USD_SEK","USD_CHF","USD_ISK","USD_NOK","USD_HRK","USD_RUB","USD_TRY","USD_AUD","USD_BRL","USD_CAD","USD_CNY","USD_HKD","USD_IDR","USD_ILS","USD_INR","USD_KRW","USD_MXN","USD_MYR","USD_NZD","USD_PHP","USD_SGD","USD_THB","USD_ZAR","USD_EUR","EUR_USD","EUR_JPY","EUR_BGN","EUR_CZK","EUR_DKK","EUR_GBP","EUR_HUF","EUR_PLN","EUR_RON","EUR_SEK","EUR_CHF","EUR_ISK","EUR_NOK","EUR_HRK","EUR_RUB","EUR_TRY","EUR_AUD","EUR_BRL","EUR_CAD","EUR_CNY","EUR_HKD","EUR_IDR","EUR_ILS","EUR_INR","EUR_KRW","EUR_MXN","EUR_MYR","EUR_NZD","EUR_PHP","EUR_SGD","EUR_THB","EUR_ZAR"
"2021-01-01",103.080434,1.593839,21.38538,6.063809,0.732646,296.544699,3.715834,3.967321,8.177247,0.880287,127.210496,8.532556,6.154266,74.539239,7.426534,1.295412,5.193953,1.273979,6.537772,7.753402,14050.004075,3.214652,73.066987,1088.745823,19.897319,4.020862,1.384076,48.182707,1.321653,29.929916,14.686578,0.81493,1.2271,126.49,1.9558,26.242,7.4409,0.89903,363.89,4.5597,4.8683,10.0343,1.0802,156.1,10.4703,7.5519,91.4671,9.1131,1.5896,6.3735,1.5633,8.0225,9.5142,17240.76,3.9447,89.6605,1336,24.416,4.934,1.6984,59.125,1.6218,36.727,18.0219
"2021-01-02",103.080434,1.593839,21.38538,6.063809,0.732646,296.544699,3.715834,3.967321,8.177247,0.880287,127.210496,8.532556,6.154266,74.539239,7.426534,1.295412,5.193953,1.273979,6.537772,7.753402,14050.004075,3.214652,73.066987,1088.745823,19.897319,4.020862,1.384076,48.182707,1.321653,29.929916,14.686578,0.81493,1.2271,126.49,1.9558,26.242,7.4409,0.89903,363.89,4.5597,4.8683,10.0343,1.0802,156.1,10.4703,7.5519,91.4671,9.1131,1.5896,6.3735,1.5633,8.0225,9.5142,17240.76,3.9447,89.6605,1336,24.416,4.934,1.6984,59.125,1.6218,36.727,18.0219
"2021-01-03",103.080434,1.593839,21.38538,6.063809,0.732646,296.544699,3.715834,3.967321,8.177247,0.880287,127.210496,8.532556,6.154266,74.539239,7.426534,1.295412,5.193953,1.273979,6.537772,7.753402,14050.004075,3.214652,73.066987,1088.745823,19.897319,4.020862,1.384076,48.182707,1.321653,29.929916,14.686578,0.81493,1.2271,126.49,1.9558,26.242,7.4409,0.89903,363.89,4.5597,4.8683,10.0343,1.0802,156.1,10.4703,7.5519,91.4671,9.1131,1.5896,6.3735,1.5633,8.0225,9.5142,17240.76,3.9447,89.6605,1336,24.416,4.934,1.6984,59.125,1.6218,36.727,18.0219
"2021-01-04",102.976578,1.590599,21.259759,6.04904,0.733247,293.851659,3.698357,3.961695,8.205514,0.879229,126.951854,8.493819,6.145494,73.472674,7.366542,1.295381,5.143217,1.270413,6.464216,7.752928,13876.602147,3.206734,73.022934,1083.303513,19.765046,4.006506,1.38785,48.030254,1.317339,29.869876,14.574984,0.813273,1.2296,126.62,1.9558,26.141,7.4379,0.9016,361.32,4.5475,4.8713,10.0895,1.0811,156.1,10.444,7.5565,90.342,9.0579,1.5928,6.3241,1.5621,7.9484,9.533,17062.67,3.943,89.789,1332.03,24.3031,4.9264,1.7065,59.058,1.6198,36.728,17.9214
"2021-01-05",102.88485,1.593839,21.373156,6.062016,0.73615,293.594654,3.705729,3.970418,8.195746,0.880368,127.210496,8.533371,6.159889,74.70581,7.390922,1.297938,5.339174,1.275446,6.463613,7.752913,13915.002852,3.200799,73.23527,1088.623584,20.035857,4.017032,1.388314,48.09714,1.318556,29.969848,15.010513,0.81493,1.2271,126.25,1.9558,26.227,7.4387,0.90333,360.27,4.5473,4.8721,10.057,1.0803,156.1,10.4713,7.5588,91.6715,9.0694,1.5927,6.5517,1.5651,7.9315,9.5136,17075.1,3.9277,89.867,1335.85,24.586,4.9293,1.7036,59.02,1.618,36.776,18.4194
"2021-01-06",102.95834,1.585184,21.190631,6.029583,0.7346,290.047009,3.660237,3.948776,8.157967,0.877047,126.681796,8.413843,6.127006,73.607959,7.339439,1.282542,5.277922,1.267628,6.455909,7.753201,13914.897066,3.18439,73.110715,1085.508186,19.739261,4.010537,1.371049,48.059653,1.316745,29.924623,15.004296,0.810504,1.2338,127.03,1.9558,26.145,7.4393,0.90635,357.86,4.516,4.872,10.0653,1.0821,156.3,10.381,7.5595,90.8175,9.0554,1.5824,6.5119,1.564,7.9653,9.5659,17168.2,3.9289,90.204,1339.3,24.3543,4.9482,1.6916,59.296,1.6246,36.921,18.5123
"2021-01-07",103.559791,1.59319,21.299283,6.059954,0.734686,291.454871,3.665526,3.968068,8.192815,0.882454,126.507006,8.42579,6.163245,74.2913,7.330319,1.289997,5.308895,1.270854,6.467253,7.753014,14059.946237,3.17913,73.350847,1093.426197,19.758227,4.03796,1.37724,48.096285,1.323965,30.025253,15.307836,0.814598,1.2276,127.13,1.9558,26.147,7.4392,0.9019,357.79,4.4998,4.8712,10.0575,1.0833,155.3,10.3435,7.566,91.2,8.9987,1.5836,6.5172,1.5601,7.9392,9.5176,17259.99,3.9027,90.0455,1342.29,24.2552,4.957,1.6907,59.043,1.6253,36.859,18.7919
"2021-01-08",103.885714,1.596571,21.357551,6.070939,0.735739,293.567347,3.682694,3.976163,8.204898,0.883837,126.938776,8.39698,6.178776,74.122449,7.358857,1.286367,5.367184,1.268816,6.464,7.753633,14079.453061,3.182122,73.304082,1092.163265,19.97698,4.029306,1.378204,48.12,1.324735,30.08,15.282612,0.816327,1.225,127.26,1.9558,26.163,7.4369,0.90128,359.62,4.5113,4.8708,10.051,1.0827,155.5,10.2863,7.569,90.8,9.0146,1.5758,6.5748,1.5543,7.9184,9.4982,17247.33,3.8981,89.7975,1337.9,24.4718,4.9359,1.6883,58.947,1.6228,36.848,18.7212
"2021-01-09",103.885714,1.596571,21.357551,6.070939,0.735739,293.567347,3.682694,3.976163,8.204898,0.883837,126.938776,8.39698,6.178776,74.122449,7.358857,1.286367,5.367184,1.268816,6.464,7.753633,14079.453061,3.182122,73.304082,1092.163265,19.97698,4.029306,1.378204,48.12,1.324735,30.08,15.282612,0.816327,1.225,127.26,1.9558,26.163,7.4369,0.90128,359.62,4.5113,4.8708,10.051,1.0827,155.5,10.2863,7.569,90.8,9.0146,1.5758,6.5748,1.5543,7.9184,9.4982,17247.33,3.8981,89.7975,1337.9,24.4718,4.9359,1.6883,58.947,1.6228,36.848,18.7212
"2021-01-10",103.885714,1.596571,21.357551,6.070939,0.735739,293.567347,3.682694,3.976163,8.204898,0.883837,126.938776,8.39698,6.178776,74.122449,7.358857,1.286367,5.367184,1.268816,6.464,7.753633,14079.453061,3.182122,73.304082,1092.163265,19.97698,4.029306,1.378204,48.12,1.324735,30.08,15.282612,0.816327,1.225,127.26,1.9558,26.163,7.4369,0.90128,359.62,4.5113,4.8708,10.051,1.0827,155.5,10.2863,7.569,90.8,9.0146,1.5758,6.5748,1.5543,7.9184,9.4982,17247.33,3.8981,89.7975,1337.9,24.4718,4.9359,1.6883,58.947,1.6228,36.848,18.7212
"2021-01-11",104.217709,1.607991,21.572803,6.11461,0.741881,296.555126,3.723917,4.004357,8.28414,0.891063,129.162213,8.524213,6.232015,74.658801,7.444709,1.297624,5.472499,1.27855,6.479158,7.755488,14196.448245,3.179808,73.457206,1098.215901,20.167804,4.051961,1.39094,48.085176,1.330264,30.139768,15.463208,0.822166,1.2163,126.76,1.9558,26.239,7.4372,0.90235,360.7,4.5294,4.8705,10.076,1.0838,157.1,10.368,7.58,90.8075,9.055,1.5783,6.6562,1.5551,7.8806,9.433,17267.14,3.8676,89.346,1335.76,24.5301,4.9284,1.6918,58.486,1.618,36.659,18.8079
"2021-01-12",104.218403,1.608256,21.536058,6.116684,0.735466,295.748705,3.720747,4.005674,8.295206,0.889072,128.443385,8.532604,6.233451,74.051229,7.487049,1.294466,5.475865,1.275389,6.461311,7.755448,14144.9963,3.161006,73.260012,1098.90634,19.982732,4.057479,1.392978,48.050325,1.327687,30.129924,15.399145,0.822301,1.2161,126.74,1.9558,26.19,7.4385,0.8944,359.66,4.5248,4.8713,10.0878,1.0812,156.2,10.3765,7.5805,90.0537,9.105,1.5742,6.6592,1.551,7.8576,9.4314,17201.73,3.8441,89.0915,1336.38,24.301,4.9343,1.694,58.434,1.6146,36.641,18.7269
"2021-01-13",103.928982,1.607595,21.513234,6.114746,0.731407,296.112116,3.719628,4.005014,8.333306,0.888706,128.226204,8.498274,6.230889,73.800674,7.441312,1.293276,5.331991,1.272974,6.470163,7.754069,14128.10291,3.140884,73.162502,1097.484794,19.843334,4.044468,1.393556,48.061812,1.326566,30.040276,15.315552,0.821963,1.2166,126.44,1.9558,26.173,7.4392,0.88983,360.25,4.5253,4.8725,10.1383,1.0812,156,10.339,7.5805,89.7859,9.0531,1.5734,6.4869,1.5487,7.8716,9.4336,17188.25,3.8212,89.0095,1335.2,24.1414,4.9205,1.6954,58.472,1.6139,36.547,18.6329
"2021-01-14",104.099307,1.613164,21.601782,6.136011,0.733611,296.577037,3.742907,4.01996,8.33545,0.891208,129.165292,8.504454,6.242989,73.482349,7.381392,1.290168,5.269548,1.268641,6.467255,7.753629,14043.995381,3.142115,73.129743,1097.30287,19.829924,4.035962,1.390053,48.030353,1.32712,30.019795,15.188634,0.82481,1.2124,126.21,1.9558,26.19,7.4393,0.88943,359.57,4.5379,4.8738,10.1059,1.0805,156.6,10.3108,7.569,89.09,8.9492,1.5642,6.3888,1.5381,7.8409,9.4005,17026.94,3.8095,88.6625,1330.37,24.0418,4.8932,1.6853,58.232,1.609,36.396,18.4147
"2021-01-15",103.720201,1.613297,21.581292,6.136517,0.734125,296.94795,3.742885,4.01988,8.35643,0.888394,129.010971,8.507383,6.230718,73.444197,7.43867,1.293409,5.254228,1.271385,6.475212,7.754269,14049.797905,3.262064,73.114328,1100.057741,19.816135,4.036872,1.393714,48.029366,1.328467,30.034645,15.229481,0.824878,1.2123,125.74,1.9558,26.163,7.4393,0.88998,359.99,4.5375,4.8733,10.1305,1.077,156.4,10.3135,7.5535,89.0364,9.0179,1.568,6.3697,1.5413,7.8499,9.4005,17032.57,3.9546,88.6365,1333.6,24.0231,4.8939,1.6896,58.226,1.6105,36.411,18.4627
"2021-01-16",103.720201,1.613297,21.581292,6.136517,0.734125,296.94795,3.742885,4.01988,8.35643,0.888394,129.010971,8.507383,6.230718,73.444197,7.43867,1.293409,5.254228,1.271385,6.475212,7.754269,14049.797905,3.262064,73.114328,1100.057741,19.816135,4.036872,1.393714,48.029366,1.328467,30.034645,15.229481,0.824878,1.2123,125.74,1.9558,26.163,7.4393,0.88998,359.99,4.5375,4.8733,10.1305,1.077,156.4,10.3135,7.5535,89.0364,9.0179,1.568,6.3697,1.5413,7.8499,9.4005,17032.57,3.9546,88.6365,1333.6,24.0231,4.8939,1.6896,58.226,1.6105,36.411,18.4627
"2021-01-17",103.720201,1.613297,21.581292,6.136517,0.734125,296.94795,3.742885,4.01988,8.35643,0.888394,129.010971,8.507383,6.230718,73.444197,7.43867,1.293409,5.254228,1.271385,6.475212,7.754269,14049.797905,3.262064,73.114328,1100.057741,19.816135,4.036872,1.393714,48.029366,1.328467,30.034645,15.229481,0.824878,1.2123,125.74,1.9558,26.163,7.4393,0.88998,359.99,4.5375,4.8733,10.1305,1.077,156.4,10.3135,7.5535,89.0364,9.0179,1.568,6.3697,1.5413,7.8499,9.4005,17032.57,3.9546,88.6365,1333.6,24.0231,4.8939,1.6896,58.226,1.6105,36.411,18.4627
