"date","USD_JPY","USD_BGN","USD_CZK","USD_DKK","USD_GBP","USD_HUF","USD_PLN","USD_RON","USD_SEK","USD_CHF","USD_ISK","USD_NOK","USD_HRK","USD_TRY","USD_AUD","USD_BRL","USD_CAD","USD_CNY","USD_HKD","USD_IDR","USD_ILS","USD_INR","USD_KRW","USD_MXN","USD_MYR","USD_NZD","USD_PHP","USD_SGD","USD_THB","USD_ZAR","USD_EUR","EUR_USD","EUR_JPY","EUR_BGN","EUR_CZK","EUR_DKK","EUR_GBP","EUR_HUF","EUR_PLN","EUR_RON","EUR_SEK","EUR_CHF","EUR_ISK","EUR_NOK","EUR_HRK","EUR_TRY","EUR_AUD","EUR_BRL","EUR_CAD","EUR_CNY","EUR_HKD","EUR_IDR","EUR_ILS","EUR_INR","EUR_KRW","EUR_MXN","EUR_MYR","EUR_NZD","EUR_PHP","EUR_SGD","EUR_THB","EUR_ZAR"
"2023-01-01",131.876992,1.833677,22.610163,6.972155,0.831549,375.839115,4.388524,4.640446,10.427339,0.923214,142.040128,9.857304,7.06591,18.718264,1.471311,5.286518,1.353835,6.898744,7.797019,15488.299269,3.520908,82.665479,1260.163135,19.553722,4.405025,1.574911,55.615976,1.340709,34.534971,16.968498,0.937559,1.0666,140.66,1.9558,24.116,7.4365,0.88693,400.87,4.6808,4.9495,11.1218,0.9847,151.5,10.5138,7.5365,19.9649,1.5693,5.6386,1.444,7.3582,8.3163,16519.82,3.7554,88.171,1344.09,20.856,4.6984,1.6798,59.32,1.43,36.835,18.0986
"2023-01-02",130.693625,1.830759,22.630347,6.961902,0.829636,375.390808,4.382009,4.624169,10.452401,0.924179,142.00131,9.841337,NA,18.724984,1.469531,5.340073,1.357858,6.898624,7.805766,15568.454554,3.513713,82.772629,1270.991295,19.499953,4.405036,1.580642,55.821398,1.340822,34.5549,17.01011,0.936067,1.0683,139.62,1.9558,24.176,7.4374,0.8863,401.03,4.6813,4.94,11.1663,0.9873,151.7,10.5135,NA,20.0039,1.5699,5.7048,1.4506,7.3698,8.3389,16631.78,3.7537,88.426,1357.8,20.8318,4.7059,1.6886,59.634,1.4324,36.915,18.1719
"2023-01-03",130.801328,1.854718,22.877193,7.052632,0.834974,382.48459,4.441062,4.67615,10.567093,0.936842,143.859649,9.983879,NA,18.735514,1.489616,5.372783,1.366904,6.90972,7.813371,15620.625889,3.529256,82.891892,1276.917971,19.46733,4.403888,1.60569,55.969654,1.345472,34.380275,17.087719,0.948317,1.0545,137.93,1.9558,24.124,7.437,0.88048,403.33,4.6831,4.931,11.143,0.9879,151.7,10.528,NA,19.7566,1.5708,5.6656,1.4414,7.2863,8.2392,16471.95,3.7216,87.4095,1346.51,20.5283,4.6439,1.6932,59.02,1.4188,36.254,18.019
"2023-01-04",130.899141,1.845268,22.670063,7.017077,0.830984,373.47863,4.404661,4.647986,10.534296,0.928673,143.12671,10.131144,NA,18.744221,1.457873,5.449382,1.355128,6.886027,7.818096,15571.997358,3.528352,82.829512,1272.714407,19.293707,4.400509,1.582696,55.976979,1.340881,34.009812,16.826965,0.943485,1.0599,138.74,1.9558,24.028,7.4374,0.88076,395.85,4.6685,4.9264,11.1653,0.9843,151.7,10.738,NA,19.867,1.5452,5.7758,1.4363,7.2985,8.2864,16504.76,3.7397,87.791,1348.95,20.4494,4.6641,1.6775,59.33,1.4212,36.047,17.8349
"2023-01-05",132.959155,1.84492,22.665786,7.015659,0.832969,374.379775,4.405245,4.644373,10.550703,0.92812,143.665692,10.116781,NA,18.770116,1.463541,5.382511,1.350439,6.87322,7.809452,15605.197623,3.527969,82.516272,1269.597208,19.376663,4.387982,1.587775,55.829639,1.340723,33.910008,17.097444,0.943307,1.0601,140.95,1.9558,24.028,7.4373,0.88303,396.88,4.67,4.9235,11.1848,0.9839,152.3,10.7248,NA,19.8982,1.5515,5.706,1.4316,7.2863,8.2788,16543.07,3.74,87.4755,1345.9,20.5412,4.6517,1.6832,59.185,1.4213,35.948,18.125
"2023-01-06",134.571429,1.862667,22.908571,7.082857,0.842619,378.057143,4.471429,4.694857,10.721905,0.939429,145.619048,10.292381,NA,18.768095,1.484762,5.336571,1.364857,6.861429,7.810095,15684.095238,3.55819,82.771714,1273.504762,19.299524,4.403524,1.608476,55.594286,1.34819,34.035238,17.342095,0.952381,1.05,141.3,1.9558,24.054,7.437,0.88475,396.96,4.695,4.9296,11.258,0.9864,152.9,10.807,NA,19.7065,1.559,5.6034,1.4331,7.2045,8.2006,16468.3,3.7361,86.9103,1337.18,20.2645,4.6237,1.6889,58.374,1.4156,35.737,18.2092
"2023-01-07",134.571429,1.862667,22.908571,7.082857,0.842619,378.057143,4.471429,4.694857,10.721905,0.939429,145.619048,10.292381,NA,18.768095,1.484762,5.336571,1.364857,6.861429,7.810095,15684.095238,3.55819,82.771714,1273.504762,19.299524,4.403524,1.608476,55.594286,1.34819,34.035238,17.342095,0.952381,1.05,141.3,1.9558,24.054,7.437,0.88475,396.96,4.695,4.9296,11.258,0.9864,152.9,10.807,NA,19.7065,1.559,5.6034,1.4331,7.2045,8.2006,16468.3,3.7361,86.9103,1337.18,20.2645,4.6237,1.6889,58.374,1.4156,35.737,18.2092
"2023-01-08",134.571429,1.862667,22.908571,7.082857,0.842619,378.057143,4.471429,4.694857,10.721905,0.939429,145.619048,10.292381,NA,18.768095,1.484762,5.336571,1.364857,6.861429,7.810095,15684.095238,3.55819,82.771714,1273.504762,19.299524,4.403524,1.608476,55.594286,1.34819,34.035238,17.342095,0.952381,1.05,141.3,1.9558,24.054,7.437,0.88475,396.96,4.695,4.9296,11.258,0.9864,152.9,10.807,NA,19.7065,1.559,5.6034,1.4331,7.2045,8.2006,16468.3,3.7361,86.9103,1337.18,20.2645,4.6237,1.6889,58.374,1.4156,35.737,18.2092
"2023-01-09",132.152206,1.828534,22.428945,6.953441,0.823186,371.400524,4.390707,4.604806,10.467464,0.922307,143.511593,9.920344,NA,18.775617,1.444091,5.280011,1.336855,6.782536,7.807405,15577.711294,3.491679,82.346672,1243.801421,19.149682,4.375467,1.565165,55.110322,1.331713,33.460172,17.021223,0.934929,1.0696,141.35,1.9558,23.99,7.4374,0.88048,397.25,4.6963,4.9253,11.196,0.9865,153.5,10.6108,NA,20.0824,1.5446,5.6475,1.4299,7.2546,8.3508,16661.92,3.7347,88.078,1330.37,20.4825,4.68,1.6741,58.946,1.4244,35.789,18.2059
"2023-01-10",132.351021,1.82393,22.366875,6.936025,0.823743,372.097361,4.378439,4.601138,10.441388,0.923995,144.269328,9.9585,NA,18.777954,1.456309,5.266343,1.341229,6.782803,7.809382,15550.750723,3.473282,81.789611,1248.139513,19.145668,4.37275,1.574093,54.789704,1.332649,33.595076,17.071155,0.932575,1.0723,141.92,1.9558,23.984,7.4375,0.8833,399,4.695,4.9338,11.1963,0.9908,154.7,10.6785,NA,20.1356,1.5616,5.6471,1.4382,7.2732,8.374,16675.07,3.7244,87.703,1338.38,20.5299,4.6889,1.6879,58.751,1.429,36.024,18.3054
